ReportID,Timestamp,ScreenLoadTime,DbQueryTime,MemoryUsage,GcEvents,ExceptionsLogged
455,2025-04-06T18:29:39.489068400,0,0,177,11,
456,2025-04-06T18:29:46.053443300,0,0,3765,60,
457,2025-04-06T18:29:56.740020700,124,124,2262,66,
458,2025-04-06T18:34:39.649151100,171,171,150,7,
459,2025-04-06T18:34:40.940653400,0,0,225,7,
460,2025-04-06T18:34:47.572649,0,0,3768,59,
461,2025-04-06T18:34:52.243029,155,155,2253,66,
462,2025-04-06T18:35:05.684743900,0,0,200,76,
463,2025-04-06T18:35:13.009533600,0,0,3760,129,
464,2025-04-06T18:35:49.061878200,0,0,3799,135,
465,2025-04-06T18:35:51.963621100,125,125,3863,141,
466,2025-04-06T18:37:46.287064800,197,197,147,8,
467,2025-04-06T18:37:47.988064,0,0,151,11,
468,2025-04-06T18:37:54.730064600,0,0,3768,60,
469,2025-04-06T18:38:25.250809300,0,0,2234,67,
470,2025-04-06T18:40:17.539686,162,162,146,8,
471,2025-04-06T18:40:19.055186500,0,0,116,11,
472,2025-04-06T18:40:23.417184600,0,0,1979,54,
473,2025-04-06T18:49:07.637102400,153,153,147,9,
474,2025-04-06T18:49:10.601604700,0,0,188,20,
475,2025-04-06T18:50:19.067508100,143,143,153,6,
476,2025-04-06T18:50:20.407007400,0,0,147,9,
477,2025-04-06T18:50:24.104009700,0,0,1984,44,
478,2025-04-06T18:57:13.764002,149,149,147,8,
479,2025-04-06T18:57:16.060400500,0,0,185,12,
480,2025-04-06T18:57:17.497603800,0,0,211,12,
481,2025-04-06T18:57:26.656246500,96,95,281,12,
482,2025-04-06T18:57:27.730244700,0,0,168,20,
483,2025-04-06T18:57:29.052431,0,0,215,28,
484,2025-04-06T18:59:17.493232,130,130,151,5,
485,2025-04-06T18:59:19.330231100,0,0,186,12,
486,2025-04-06T18:59:20.253244100,0,0,207,15,
487,2025-04-06T19:00:25.670791100,145,145,152,5,
488,2025-04-06T19:00:31.137726900,0,0,192,9,
489,2025-04-06T19:00:32.599503200,0,0,205,12,
490,2025-04-06T19:02:18.119140300,89,89,270,13,
